0.0	0
1.0788127e-05	1
0.0024657829	0
0.0	1
0.0032076195	2
0.0039252229	1
0.007228199	0
0.0073276924	0
0.0075760591	0
0.0082781188	3
0.008614585	0
0.0096577908	0
0.012713431	0
5.6779617e-05	6
0.012977805	5
0.013767085	4
0.016882208	4
0.017682984	2
0.020659068	1
0.038	0
0.038043153	1
0.038227118	2
0.038566802	0
0.03919536	0
0.00014170055	23
0.039873995	23
0.040983169	7
0.043569046	20
0.04429137	19
0.045339921	18
0.047863132	18
0.050830478	12
0.053700892	13
0.066912796	14
0.06731077	13
0.00029884009	12
0.068304236	11
0.071112475	10
0.07245834	9
0.076631163	8
0.088853725	7
0.08991122	7
0.093068338	5
0.10552883	0
0.10873194	3
0.12063627	2
0.00046849876	1
0.2	0
0.20004315	1
0.20022712	2
0.2005668	50
0.20119536	49
0.201874	48
0.20298317	47
0.20556905	46
0.20629137	45
0.20733992	44
0.00074579236	43
0.20986313	42
0.21283048	41
0.21570089	40
0.2289128	39
0.22931077	38
0.23030424	37
0.23311248	36
0.23445834	35
0.23863116	34
0.25085372	33
0.0013922616	32
0.25191122	31
0.25506834	30
0.26752883	29
0.27073194	28
0.28263627	27
0.352	26
0.35217261	25
0.35290847	24
0.35426721	23
0.35678144	22
0.0015728426	21
0.35949598	20
0.36393268	19
0.37427618	18
0.37716548	17
0.38135968	10
0.39145253	15
0.40332191	14
0.41480357	13
0.46765118	12
0.46924308	11
0.0018349803	10
0.47321694	9
0.4844499	8
0.48983336	7
0.50652465	6
0.5554149	0
0.55964488	4
0.57227335	3
0.62211532	2
0.63492775	1
0.68254509	0
